##          0         103   20190918  160154
##      1    3789                                       


  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.5000E+02
  0.0000E+00  0.0000E+00  9.8000E+01  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00
  1.0000E+00  2.3572E-02 -9.1658E-04 -9.6627E-04  8.8321E-03  4.3152E-03
  7.6368E-04  5.6257E-02 -2.8676E-03  1.4496E-01  0.0000E+00  2.2500E+02
  0.0000E+00 -5.5198E+00  1.0457E+02  1.2000E-01  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00
  2.0000E+00  9.8468E-02 -5.7479E-03 -3.3041E-03  5.1466E-02  1.4290E-02
  4.8454E-03  1.0027E-01 -8.3410E-03  4.0881E-01  0.0000E+00  2.0000E+02
  0.0000E+00 -1.0120E+01  1.1005E+02  2.2000E-01  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00
  3.0000E+00  2.2078E-01 -1.8552E-02 -6.3762E-03  1.4757E-01  2.3665E-02
  1.4991E-02  1.5257E-01 -1.9438E-02  9.0254E-01  0.0000E+00  1.7500E+02
  0.0000E+00 -1.4720E+01  1.1553E+02  3.2000E-01  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00
  4.0000E+00  4.0006E-01 -4.3922E-02 -9.9622E-03  3.0729E-01  3.0037E-02
  3.5063E-02  2.0513E-01 -3.1256E-02  1.5037E+00  0.0000E+00  1.6581E+02
  0.0000E+00 -1.9320E+01  1.2101E+02  4.2000E-01  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00

  5.0000E+00  6.3142E-01 -8.0902E-02 -1.2847E-02  4.7741E-01  3.0552E-02
  6.5536E-02  2.5800E-01 -4.3221E-02  2.1563E+00  0.0000E+00  1.6591E+02
  0.0000E+00 -2.3920E+01  1.2648E+02  5.2000E-01  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00
  6.0000E+00  9.1791E-01 -1.3008E-01 -1.4142E-02  6.1607E-01  2.6978E-02
  1.0735E-01  3.1617E-01 -5.6268E-02  2.8690E+00  0.0000E+00  1.6610E+02
  0.0000E+00 -2.8520E+01  1.3196E+02  6.2000E-01  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00
  7.0000E+00  1.2667E+00 -1.9295E-01 -1.3559E-02  7.0057E-01  2.3103E-02
  1.6168E-01  3.8270E-01 -7.1488E-02  3.6602E+00  0.0000E+00  1.6630E+02
  0.0000E+00 -3.3120E+01  1.3744E+02  7.1999E-01  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00
