0.00	-85.56
-9.70	-85.56
-10.84	-85.32
-12.17	-83.36
-12.38	-82.35
-12.40	-39.30
-14.01	-39.25
-15.03	-37.51
-15.03	-31.99
-14.17	-30.86
-12.40	-30.62
-12.40	25.08
-12.40	29.29
-14.36	29.65
-15.05	31.74
-15.04	36.52
-14.17	37.74
-12.40	37.96
-12.27	45.69
-11.65	52.70
-10.51	59.24
-14.39	59.89
-13.49	64.98
-11.14	66.52
-8.31	67.72
-7.06	71.24
-6.41	72.95
-5.23	75.77
-4.48	77.53
-3.64	79.04
-2.84	80.18
-1.69	81.51
-0.61	82.26
-0.41	83.24
0.00	83.68
0.41	83.24
0.61	82.26
1.68	81.51
2.84	80.18
3.64	79.04
4.48	77.53
5.23	75.77
6.41	72.95
7.06	71.24
8.31	67.72
11.14	66.52
13.49	64.98
14.39	59.89
10.51	59.24
11.65	52.70
12.27	45.69
12.40	37.96
14.17	37.74
15.04	36.52
15.05	31.74
14.36	29.65
12.40	29.29
12.40	25.08
12.40	-30.62
14.16	-30.86
15.03	-31.99
15.03	-37.51
14.01	-39.25
12.40	-39.30
12.38	-82.35
12.17	-83.36
10.84	-85.32
9.70	-85.56
0.00	-85.56

