 0.2000000E+00 200
  1   1  0.3065403E+06  0.1657199E+06  28
 0.1906932E+06 -0.8128008E+05 -0.1860965E+06 -0.1503419E+06
 0.1657905E+06 -0.1737597E+06 -0.2763016E+06  0.4510258E+06
 0.1235948E+06 -0.2301573E+06 -0.5686148E+04  0.1047404E+06
 0.7817377E+05 -0.2198629E+06  0.5715809E+05  0.6462552E+05
 0.3700453E+05 -0.1892446E+06  0.9593341E+05  0.1732516E+05
 0.3131557E+04 -0.1487922E+06  0.1063285E+06 -0.6401444E+04
-0.2242496E+05 -0.1070290E+06  0.1024876E+06 -0.2133372E+05
-0.3990191E+05 -0.6859396E+05  0.8968741E+05 -0.2897752E+05
-0.5026502E+05 -0.3619629E+05  0.7230088E+05 -0.3059314E+05
-0.5485699E+05 -0.1094711E+05  0.5394500E+05 -0.2867413E+05
-0.5511801E+05  0.7189988E+04  0.3674053E+05 -0.2443583E+05
-0.5240588E+05  0.1895390E+05  0.2207902E+05 -0.1921056E+05
-0.4788562E+05  0.2548024E+05  0.1055268E+05 -0.1390980E+05
-0.4247874E+05  0.2803214E+05  0.2206804E+04 -0.9165016E+04
-0.3685736E+05  0.2781506E+05 -0.3292200E+04 -0.5272894E+04
-0.3146822E+05  0.2586544E+05 -0.6455937E+04 -0.2405649E+04
-0.2657262E+05  0.2299438E+05 -0.7899327E+04 -0.4265270E+03
-0.2229312E+05  0.1978347E+05 -0.8155243E+04  0.7800218E+03
-0.1865640E+05  0.1661497E+05 -0.7687230E+04  0.1463189E+04
-0.1562919E+05  0.1371567E+05 -0.6809317E+04  0.1814807E+04
-0.1314391E+05  0.1120971E+05 -0.5720433E+04  0.1936488E+04
-0.1111529E+05  0.9153917E+04 -0.4558539E+04  0.1957513E+04
-0.9451190E+04  0.7565405E+04 -0.3384031E+04  0.1833967E+04
-0.8058800E+04  0.6431869E+04 -0.2283652E+04  0.1620416E+04
-0.6850808E+04  0.5712857E+04 -0.1311402E+04  0.1263176E+04
-0.5750588E+04  0.5339878E+04 -0.5534966E+03  0.8441461E+03
-0.4697998E+04  0.5219777E+04 -0.4700823E+02  0.3543926E+03
-0.3653088E+04  0.5243500E+04  0.1656272E+03 -0.9889961E+02
-0.2598555E+04  0.5297883E+04  0.1062874E+03 -0.4794119E+03
-0.1538561E+04  0.5282869E+04 -0.1813601E+03 -0.6979302E+03
-0.4948260E+03  0.5126573E+04 -0.6001178E+03 -0.7584175E+03
 0.5004179E+03  0.4795516E+04 -0.1055169E+04 -0.6696569E+03
 0.1411956E+04  0.4293090E+04 -0.1456963E+04 -0.4226393E+03
 0.2208914E+04  0.3659589E+04 -0.1710546E+04 -0.1533369E+03
 0.2871184E+04  0.2956969E+04 -0.1802548E+04  0.1599245E+03
 0.3391755E+04  0.2255141E+04 -0.1706594E+04  0.3959597E+03
 0.3777687E+04  0.1620018E+04 -0.1469018E+04  0.5622268E+03
 0.4047428E+04  0.1099879E+04 -0.1131682E+04  0.5801629E+03
 0.4226777E+04  0.7168257E+03 -0.7835844E+03  0.5391327E+03
 0.4343112E+04  0.4680876E+03 -0.4601043E+03  0.3795284E+03
 0.4421362E+04  0.3295894E+03 -0.2323875E+03  0.1892381E+03
 0.4479498E+04  0.2593430E+03 -0.1188447E+03  0.2395825E+02
 0.4526805E+04  0.2146799E+03 -0.1044697E+03 -0.1406669E+03
 0.4564437E+04  0.1560121E+03 -0.1888698E+03 -0.1985063E+03
 0.4586496E+04  0.5664357E+02 -0.3079734E+03 -0.1967809E+03
 0.4583932E+04 -0.9015936E+02 -0.4260419E+03 -0.1442554E+03
 0.4547704E+04 -0.2778866E+03 -0.5125951E+03 -0.5615869E+02
 0.4471173E+04 -0.4896645E+03 -0.5462904E+03  0.4744939E+02
 0.4351769E+04 -0.7024865E+03 -0.5178208E+03  0.1066889E+03
 0.4191412E+04 -0.8968120E+03 -0.4538075E+03  0.1256527E+03
 0.3994903E+04 -0.1063256E+04 -0.3784160E+03  0.1282489E+03
 0.3768141E+04 -0.1199233E+04 -0.3014667E+03  0.5102485E+02
 0.3516643E+04 -0.1313697E+04 -0.2708517E+03  0.4946248E+02
 0.3243466E+04 -0.1416102E+04 -0.2411742E+03  0.1973307E+01
 0.2950614E+04 -0.1512335E+04 -0.2399902E+03  0.2513072E+02
 0.2638749E+04 -0.1605315E+04 -0.2249118E+03  0.5561555E+02
 0.2309135E+04 -0.1688606E+04 -0.1915425E+03  0.1019535E+03
 0.1964566E+04 -0.1752989E+04 -0.1303701E+03  0.1809631E+03
 0.1610202E+04 -0.1783421E+04 -0.2179239E+02  0.1842414E+03
 0.1254120E+04 -0.1770029E+04  0.8875236E+02  0.2091273E+03
 0.9053376E+03 -0.1709433E+04  0.2142286E+03  0.1496404E+03
 0.5732175E+03 -0.1605785E+04  0.3040128E+03  0.9100768E+02
 0.2649480E+03 -0.1473258E+04  0.3586176E+03  0.4646584E+02
-0.1498700E+02 -0.1324236E+04  0.3864971E+03 -0.4146866E+02
-0.2647057E+03 -0.1174613E+04  0.3616159E+03 -0.4939969E+02
-0.4855587E+03 -0.1035895E+04  0.3319761E+03 -0.6586485E+02
-0.6799854E+03 -0.9110083E+03  0.2924572E+03 -0.6672544E+02
-0.8510232E+03 -0.8020321E+03  0.2524218E+03 -0.1498174E+02
-0.1001452E+04 -0.7028613E+03  0.2434328E+03 -0.1613752E+02
-0.1132416E+04 -0.6074247E+03  0.2337503E+03  0.5088178E+02
-0.1244144E+04 -0.5078189E+03  0.2642793E+03  0.4844468E+02
-0.1334749E+04 -0.3962939E+03  0.2933461E+03  0.4046753E+02
-0.1401951E+04 -0.2740989E+03  0.3176267E+03  0.6429388E+02
-0.1443551E+04 -0.1393332E+03  0.3562030E+03 -0.9600420E+01
-0.1457246E+04  0.1995865E+01  0.3504427E+03  0.1684755E+02
-0.1442695E+04  0.1441945E+03  0.3605513E+03 -0.5698118E+02
-0.1399890E+04  0.2815772E+03  0.3263626E+03 -0.6579656E+02
-0.1331046E+04  0.4042271E+03  0.2868845E+03 -0.1013815E+03
-0.1239536E+04  0.5068150E+03  0.2260557E+03 -0.1189672E+03
-0.1130083E+04  0.5829611E+03  0.1546754E+03 -0.1198275E+03
-0.1008262E+04  0.6304520E+03  0.8277900E+02 -0.9472008E+02
-0.8796179E+03  0.6521972E+03  0.2594674E+02 -0.1031271E+03
-0.7489663E+03  0.6502007E+03 -0.3592918E+02 -0.3138770E+02
-0.6206140E+03  0.6320624E+03 -0.5476187E+02 -0.6315206E+02
-0.4968967E+03  0.6025793E+03 -0.9265325E+02  0.2762000E+01
-0.3800655E+03  0.5658497E+03 -0.9099606E+02 -0.1927279E+02
-0.2706892E+03  0.5271384E+03 -0.1025598E+03 -0.1233854E+02
-0.1694632E+03  0.4846341E+03 -0.1099629E+03 -0.3832328E+02
-0.7724115E+02  0.4360499E+03 -0.1329569E+03 -0.7156402E+01
 0.4593597E+01  0.3820082E+03 -0.1372508E+03 -0.2844924E+02
 0.7527724E+02  0.3236943E+03 -0.1543202E+03 -0.8398024E+01
 0.1337763E+03  0.2609582E+03 -0.1593591E+03  0.2620140E+00
 0.1795955E+03  0.1972464E+03 -0.1592018E+03  0.3034786E+02
