            -0.000    78.627
             0.040    78.596
             0.216    78.290
             0.266    77.820
             0.303    77.318
             0.358    76.898
             0.401    76.253
             1.221    71.241
             2.449    65.310
             3.660    59.409
             8.529    38.256
            10.352    29.387
            11.024    25.084
            12.366     1.017
            12.160   -64.614
            11.806   -68.057
            11.148   -69.517
            10.926   -70.296
            10.718   -70.460
             9.459   -70.771
             5.562   -72.823
            -0.000   -72.843
            -5.562   -72.823
            -9.459   -70.771
           -10.718   -70.460
           -10.926   -70.296
           -11.148   -69.517
           -11.806   -68.057
           -12.161   -64.614
           -12.366     1.017
           -11.024    25.084
           -10.352    29.387
            -8.529    38.256
            -3.661    59.409
            -2.449    65.310
            -1.221    71.241
            -0.401    76.253
            -0.358    76.898
            -0.304    77.318
            -0.266    77.820
            -0.216    78.290
            -0.040    78.596
            -0.000    78.627
